notch,srg,mcp
pp/a,net/minecraft/stats/StatList/field_75942_a,net/minecraft/stats/StatList/oneShotStats
pp/b,net/minecraft/stats/StatList/field_75940_b,net/minecraft/stats/StatList/allStats
bjn/g,net/minecraft/client/multiplayer/ServerData/field_82822_g,net/minecraft/client/multiplayer/ServerData/gameVersion
pp/k,net/minecraft/stats/StatList/field_75944_o,net/minecraft/stats/StatList/distanceClimbedStat
bjn/h,net/minecraft/client/multiplayer/ServerData/field_78841_f,net/minecraft/client/multiplayer/ServerData/field_78841_f
pp/l,net/minecraft/stats/StatList/field_75958_p,net/minecraft/stats/StatList/distanceFlownStat
bjn/e,net/minecraft/client/multiplayer/ServerData/field_78844_e,net/minecraft/client/multiplayer/ServerData/pingToServer
pp/m,net/minecraft/stats/StatList/field_75957_q,net/minecraft/stats/StatList/distanceDoveStat
bjn/f,net/minecraft/client/multiplayer/ServerData/field_82821_f,net/minecraft/client/multiplayer/ServerData/field_82821_f
pp/n,net/minecraft/stats/StatList/field_75956_r,net/minecraft/stats/StatList/distanceByMinecartStat
bjn/c,net/minecraft/client/multiplayer/ServerData/field_78846_c,net/minecraft/client/multiplayer/ServerData/populationInfo
pp/g,net/minecraft/stats/StatList/field_75948_k,net/minecraft/stats/StatList/minutesPlayedStat
bjn/d,net/minecraft/client/multiplayer/ServerData/field_78843_d,net/minecraft/client/multiplayer/ServerData/serverMOTD
pp/h,net/minecraft/stats/StatList/field_75945_l,net/minecraft/stats/StatList/distanceWalkedStat
pp/i,net/minecraft/stats/StatList/field_75946_m,net/minecraft/stats/StatList/distanceSwumStat
bjn/a,net/minecraft/client/multiplayer/ServerData/field_78847_a,net/minecraft/client/multiplayer/ServerData/serverName
bjn/b,net/minecraft/client/multiplayer/ServerData/field_78845_b,net/minecraft/client/multiplayer/ServerData/serverIP
pp/j,net/minecraft/stats/StatList/field_75943_n,net/minecraft/stats/StatList/distanceFallenStat
om/e,net/minecraft/server/management/UserList/field_152697_e,net/minecraft/server/management/UserList/field_152697_e
om/f,net/minecraft/server/management/UserList/field_152698_f,net/minecraft/server/management/UserList/field_152698_f
om/a,net/minecraft/server/management/UserList/field_152693_a,net/minecraft/server/management/UserList/field_152693_a
om/b,net/minecraft/server/management/UserList/field_152694_b,net/minecraft/server/management/UserList/field_152694_b
om/c,net/minecraft/server/management/UserList/field_152695_c,net/minecraft/server/management/UserList/field_152695_c
om/d,net/minecraft/server/management/UserList/field_152696_d,net/minecraft/server/management/UserList/field_152696_d
bjn/k,net/minecraft/client/multiplayer/ServerData/field_147411_m,net/minecraft/client/multiplayer/ServerData/field_147411_m
bun/c,net/minecraft/client/stream/IStream$AuthFailureReason/$VALUES,net/minecraft/client/stream/IStream$AuthFailureReason/$VALUES
bun/b,net/minecraft/client/stream/IStream$AuthFailureReason/INVALID_TOKEN,net/minecraft/client/stream/IStream$AuthFailureReason/INVALID_TOKEN
bjn/l,net/minecraft/client/multiplayer/ServerData/field_152588_l,net/minecraft/client/multiplayer/ServerData/field_152588_l
bjn/i,net/minecraft/client/multiplayer/ServerData/field_147412_i,net/minecraft/client/multiplayer/ServerData/field_147412_i
bun/a,net/minecraft/client/stream/IStream$AuthFailureReason/ERROR,net/minecraft/client/stream/IStream$AuthFailureReason/ERROR
bjn/j,net/minecraft/client/multiplayer/ServerData/field_152587_j,net/minecraft/client/multiplayer/ServerData/field_152587_j
ark/a,net/minecraft/world/gen/feature/WorldGenDeadBush/field_150547_a,net/minecraft/world/gen/feature/WorldGenDeadBush/field_150547_a
dm/b,net/minecraft/nbt/NBTTagFloat/field_74750_a,net/minecraft/nbt/NBTTagFloat/data
auc/m,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74944_m,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/junglePyramidsDispenserContents
auc/l,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74943_l,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/junglePyramidsChestContents
blt/z,net/minecraft/client/renderer/EntityRenderer/field_78526_w,net/minecraft/client/renderer/EntityRenderer/mouseFilterYAxis
auc/n,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74942_n,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/junglePyramidsRandomScatteredStones
blt/y,net/minecraft/client/renderer/EntityRenderer/field_78527_v,net/minecraft/client/renderer/EntityRenderer/mouseFilterXAxis
auc/i,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74948_i,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74948_i
bac/a,net/minecraft/scoreboard/Scoreboard/field_96545_a,net/minecraft/scoreboard/Scoreboard/scoreObjectives
blt/x,net/minecraft/client/renderer/EntityRenderer/field_78528_u,net/minecraft/client/renderer/EntityRenderer/pointedEntity
blt/w,net/minecraft/client/renderer/EntityRenderer/field_78529_t,net/minecraft/client/renderer/EntityRenderer/rendererUpdateCount
bac/b,net/minecraft/scoreboard/Scoreboard/field_96543_b,net/minecraft/scoreboard/Scoreboard/scoreObjectiveCriterias
blt/v,net/minecraft/client/renderer/EntityRenderer/field_147709_v,net/minecraft/client/renderer/EntityRenderer/theMapItemRenderer
auc/k,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74946_k,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74946_k
blt/u,net/minecraft/client/renderer/EntityRenderer/field_78530_s,net/minecraft/client/renderer/EntityRenderer/farPlaneDistance
auc/j,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74945_j,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74945_j
bac/e,net/minecraft/scoreboard/Scoreboard/field_96542_e,net/minecraft/scoreboard/Scoreboard/teams
auc/e,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74947_h,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$JunglePyramid/field_74947_h
bac/f,net/minecraft/scoreboard/Scoreboard/field_96540_f,net/minecraft/scoreboard/Scoreboard/teamMemberships
bac/c,net/minecraft/scoreboard/Scoreboard/field_96544_c,net/minecraft/scoreboard/Scoreboard/field_96544_c
bac/d,net/minecraft/scoreboard/Scoreboard/field_96541_d,net/minecraft/scoreboard/Scoreboard/field_96541_d
blt/l,net/minecraft/client/renderer/EntityRenderer/field_78521_m,net/minecraft/client/renderer/EntityRenderer/fogColorBuffer
blt/k,net/minecraft/client/renderer/EntityRenderer/field_78522_j,net/minecraft/client/renderer/EntityRenderer/rainYCoords
blt/j,net/minecraft/client/renderer/EntityRenderer/field_78525_i,net/minecraft/client/renderer/EntityRenderer/rainXCoords
blt/i,net/minecraft/client/renderer/EntityRenderer/field_78524_h,net/minecraft/client/renderer/EntityRenderer/torchFlickerDY
blt/h,net/minecraft/client/renderer/EntityRenderer/field_78512_g,net/minecraft/client/renderer/EntityRenderer/torchFlickerY
blt/g,net/minecraft/client/renderer/EntityRenderer/field_78511_f,net/minecraft/client/renderer/EntityRenderer/torchFlickerDX
blt/f,net/minecraft/client/renderer/EntityRenderer/field_78514_e,net/minecraft/client/renderer/EntityRenderer/torchFlickerX
blt/e,net/minecraft/client/renderer/EntityRenderer/field_147708_e,net/minecraft/client/renderer/EntityRenderer/shaderCount
blt/t,net/minecraft/client/renderer/EntityRenderer/field_78531_r,net/minecraft/client/renderer/EntityRenderer/mc
blt/s,net/minecraft/client/renderer/EntityRenderer/field_110923_r,net/minecraft/client/renderer/EntityRenderer/locationSnowPng
blt/r,net/minecraft/client/renderer/EntityRenderer/field_110924_q,net/minecraft/client/renderer/EntityRenderer/locationRainPng
blt/q,net/minecraft/client/renderer/EntityRenderer/field_147710_q,net/minecraft/client/renderer/EntityRenderer/logger
blt/p,net/minecraft/client/renderer/EntityRenderer/field_78532_q,net/minecraft/client/renderer/EntityRenderer/debugViewDirection
blt/o,net/minecraft/client/renderer/EntityRenderer/field_78533_p,net/minecraft/client/renderer/EntityRenderer/fogColorBlue
blt/n,net/minecraft/client/renderer/EntityRenderer/field_78519_o,net/minecraft/client/renderer/EntityRenderer/fogColorGreen
blt/m,net/minecraft/client/renderer/EntityRenderer/field_78518_n,net/minecraft/client/renderer/EntityRenderer/fogColorRed
bkq/b,net/minecraft/client/particle/EffectRenderer$3/field_147900_b,net/minecraft/client/particle/EffectRenderer$3/field_147900_b
mx/c,net/minecraft/server/management/ItemInWorldManager/field_73091_c,net/minecraft/server/management/ItemInWorldManager/gameType
bkq/a,net/minecraft/client/particle/EffectRenderer$3/field_147901_a,net/minecraft/client/particle/EffectRenderer$3/field_147901_a
mx/b,net/minecraft/server/management/ItemInWorldManager/field_73090_b,net/minecraft/server/management/ItemInWorldManager/thisPlayerMP
mx/a,net/minecraft/server/management/ItemInWorldManager/field_73092_a,net/minecraft/server/management/ItemInWorldManager/theWorld
yj/f,net/minecraft/entity/SharedMonsterAttributes/field_151476_f,net/minecraft/entity/SharedMonsterAttributes/logger
yj/a,net/minecraft/entity/SharedMonsterAttributes/field_111267_a,net/minecraft/entity/SharedMonsterAttributes/maxHealth
yj/b,net/minecraft/entity/SharedMonsterAttributes/field_111265_b,net/minecraft/entity/SharedMonsterAttributes/followRange
yj/c,net/minecraft/entity/SharedMonsterAttributes/field_111266_c,net/minecraft/entity/SharedMonsterAttributes/knockbackResistance
yj/d,net/minecraft/entity/SharedMonsterAttributes/field_111263_d,net/minecraft/entity/SharedMonsterAttributes/movementSpeed
yj/e,net/minecraft/entity/SharedMonsterAttributes/field_111264_e,net/minecraft/entity/SharedMonsterAttributes/attackDamage
ahn/d,net/minecraft/world/EnumSkyBlock/$VALUES,net/minecraft/world/EnumSkyBlock/$VALUES
ahn/c,net/minecraft/world/EnumSkyBlock/field_77198_c,net/minecraft/world/EnumSkyBlock/defaultLightValue
nj/b,net/minecraft/network/NetHandlerPlayServer$2/field_151286_b,net/minecraft/network/NetHandlerPlayServer$2/field_151286_b
ahn/b,net/minecraft/world/EnumSkyBlock/Block,net/minecraft/world/EnumSkyBlock/Block
nj/a,net/minecraft/network/NetHandlerPlayServer$2/field_151287_a,net/minecraft/network/NetHandlerPlayServer$2/field_151287_a
ahn/a,net/minecraft/world/EnumSkyBlock/Sky,net/minecraft/world/EnumSkyBlock/Sky
akf/a,net/minecraft/block/BlockCrops/field_149867_a,net/minecraft/block/BlockCrops/field_149867_a
bbw/c,net/minecraft/client/gui/Gui/field_110323_l,net/minecraft/client/gui/Gui/statIcons
bbw/b,net/minecraft/client/gui/Gui/field_110325_k,net/minecraft/client/gui/Gui/optionsBackground
bbw/e,net/minecraft/client/gui/Gui/field_73735_i,net/minecraft/client/gui/Gui/zLevel
mg/a,net/minecraft/server/gui/StatsComponent$1/field_120030_a,net/minecraft/server/gui/StatsComponent$1/field_120030_a
bbw/d,net/minecraft/client/gui/Gui/field_110324_m,net/minecraft/client/gui/Gui/icons
avf/b,net/minecraft/world/gen/structure/MapGenStructure$1/field_85167_b,net/minecraft/world/gen/structure/MapGenStructure$1/field_85167_b
bbf/a,net/minecraft/client/Minecraft$9/field_82887_a,net/minecraft/client/Minecraft$9/mc
avf/c,net/minecraft/world/gen/structure/MapGenStructure$1/field_85168_c,net/minecraft/world/gen/structure/MapGenStructure$1/theMapStructureGenerator
avf/a,net/minecraft/world/gen/structure/MapGenStructure$1/field_85169_a,net/minecraft/world/gen/structure/MapGenStructure$1/field_85169_a
mx/g,net/minecraft/server/management/ItemInWorldManager/field_73087_g,net/minecraft/server/management/ItemInWorldManager/partiallyDestroyedBlockY
mx/f,net/minecraft/server/management/ItemInWorldManager/field_73086_f,net/minecraft/server/management/ItemInWorldManager/partiallyDestroyedBlockX
net/minecraft/realms/RealmsScreen/SKIN_HEAD_WIDTH,net/minecraft/realms/RealmsScreen/SKIN_HEAD_WIDTH,net/minecraft/realms/RealmsScreen/SKIN_HEAD_WIDTH
mx/e,net/minecraft/server/management/ItemInWorldManager/field_73089_e,net/minecraft/server/management/ItemInWorldManager/initialDamage
mx/d,net/minecraft/server/management/ItemInWorldManager/field_73088_d,net/minecraft/server/management/ItemInWorldManager/isDestroyingBlock
mx/k,net/minecraft/server/management/ItemInWorldManager/field_73098_k,net/minecraft/server/management/ItemInWorldManager/posX
mx/j,net/minecraft/server/management/ItemInWorldManager/field_73097_j,net/minecraft/server/management/ItemInWorldManager/receivedFinishDiggingPacket
ajt/a,net/minecraft/block/BlockCactus/field_150041_a,net/minecraft/block/BlockCactus/field_150041_a
mx/i,net/minecraft/server/management/ItemInWorldManager/field_73100_i,net/minecraft/server/management/ItemInWorldManager/curblockDamage
ajt/b,net/minecraft/block/BlockCactus/field_150040_b,net/minecraft/block/BlockCactus/field_150040_b
mx/h,net/minecraft/server/management/ItemInWorldManager/field_73099_h,net/minecraft/server/management/ItemInWorldManager/partiallyDestroyedBlockZ
mx/o,net/minecraft/server/management/ItemInWorldManager/field_73094_o,net/minecraft/server/management/ItemInWorldManager/durabilityRemainingOnBlock
zk/at,net/minecraft/entity/projectile/EntityThrowable/field_70195_i,net/minecraft/entity/projectile/EntityThrowable/ticksInAir
mx/n,net/minecraft/server/management/ItemInWorldManager/field_73093_n,net/minecraft/server/management/ItemInWorldManager/initialBlockDamage
mx/m,net/minecraft/server/management/ItemInWorldManager/field_73096_m,net/minecraft/server/management/ItemInWorldManager/posZ
bmw/e,net/minecraft/client/renderer/culling/ClippingHelperImpl/field_78563_e,net/minecraft/client/renderer/culling/ClippingHelperImpl/instance
mx/l,net/minecraft/server/management/ItemInWorldManager/field_73095_l,net/minecraft/server/management/ItemInWorldManager/posY
bmw/f,net/minecraft/client/renderer/culling/ClippingHelperImpl/field_78561_f,net/minecraft/client/renderer/culling/ClippingHelperImpl/projectionMatrixBuffer
bmw/g,net/minecraft/client/renderer/culling/ClippingHelperImpl/field_78562_g,net/minecraft/client/renderer/culling/ClippingHelperImpl/modelviewMatrixBuffer
bmw/h,net/minecraft/client/renderer/culling/ClippingHelperImpl/field_78564_h,net/minecraft/client/renderer/culling/ClippingHelperImpl/field_78564_h
blt/D,net/minecraft/client/renderer/EntityRenderer/field_78489_A,net/minecraft/client/renderer/EntityRenderer/mouseFilterDummy4
blt/C,net/minecraft/client/renderer/EntityRenderer/field_78538_z,net/minecraft/client/renderer/EntityRenderer/mouseFilterDummy3
blt/B,net/minecraft/client/renderer/EntityRenderer/field_78540_y,net/minecraft/client/renderer/EntityRenderer/mouseFilterDummy2
blt/A,net/minecraft/client/renderer/EntityRenderer/field_78541_x,net/minecraft/client/renderer/EntityRenderer/mouseFilterDummy1
net/minecraft/realms/RealmsScreen/SKIN_HEAD_V,net/minecraft/realms/RealmsScreen/SKIN_HEAD_V,net/minecraft/realms/RealmsScreen/SKIN_HEAD_V
ad/a,net/minecraft/command/PlayerSelector/field_82389_a,net/minecraft/command/PlayerSelector/tokenPattern
net/minecraft/realms/RealmsScreen/SKIN_HEAD_U,net/minecraft/realms/RealmsScreen/SKIN_HEAD_U,net/minecraft/realms/RealmsScreen/SKIN_HEAD_U
ad/c,net/minecraft/command/PlayerSelector/field_82388_c,net/minecraft/command/PlayerSelector/keyValueListPattern
ad/b,net/minecraft/command/PlayerSelector/field_82387_b,net/minecraft/command/PlayerSelector/intListPattern
blt/Z,net/minecraft/client/renderer/EntityRenderer/field_82831_U,net/minecraft/client/renderer/EntityRenderer/bossColorModifier
blt/Y,net/minecraft/client/renderer/EntityRenderer/field_78501_T,net/minecraft/client/renderer/EntityRenderer/fovMultiplierTemp
blt/X,net/minecraft/client/renderer/EntityRenderer/field_78506_S,net/minecraft/client/renderer/EntityRenderer/fovModifierHandPrev
blt/W,net/minecraft/client/renderer/EntityRenderer/field_78507_R,net/minecraft/client/renderer/EntityRenderer/fovModifierHand
blt/V,net/minecraft/client/renderer/EntityRenderer/field_110922_T,net/minecraft/client/renderer/EntityRenderer/locationLightMap
blt/U,net/minecraft/client/renderer/EntityRenderer/field_78504_Q,net/minecraft/client/renderer/EntityRenderer/lightmapColors
blt/d,net/minecraft/client/renderer/EntityRenderer/field_147707_d,net/minecraft/client/renderer/EntityRenderer/theShaderGroup
blt/c,net/minecraft/client/renderer/EntityRenderer/field_78516_c,net/minecraft/client/renderer/EntityRenderer/itemRenderer
lu/a,net/minecraft/server/dedicated/DedicatedServer$1/field_72451_a,net/minecraft/server/dedicated/DedicatedServer$1/theDecitatedServer
blt/b,net/minecraft/client/renderer/EntityRenderer/field_78515_b,net/minecraft/client/renderer/EntityRenderer/anaglyphField
blt/a,net/minecraft/client/renderer/EntityRenderer/field_78517_a,net/minecraft/client/renderer/EntityRenderer/anaglyphEnable
blt/L,net/minecraft/client/renderer/EntityRenderer/field_78497_I,net/minecraft/client/renderer/EntityRenderer/smoothCamPitch
blt/K,net/minecraft/client/renderer/EntityRenderer/field_78496_H,net/minecraft/client/renderer/EntityRenderer/smoothCamYaw
blt/J,net/minecraft/client/renderer/EntityRenderer/field_78488_G,net/minecraft/client/renderer/EntityRenderer/prevDebugCamPitch
blt/I,net/minecraft/client/renderer/EntityRenderer/field_78487_F,net/minecraft/client/renderer/EntityRenderer/debugCamPitch
blt/H,net/minecraft/client/renderer/EntityRenderer/field_78486_E,net/minecraft/client/renderer/EntityRenderer/prevDebugCamYaw
blt/G,net/minecraft/client/renderer/EntityRenderer/field_78485_D,net/minecraft/client/renderer/EntityRenderer/debugCamYaw
bat/a,net/minecraft/client/Minecraft$13/field_142056_a,net/minecraft/client/Minecraft$13/field_142056_a
